Fecha,General,Subyacente
10/3/2013,83.63783881,85.38807167
10/18/2013,83.90302903,85.45536702
11/2/2013,84.47022057,86.04594386
11/17/2013,84.56788269,86.25385439
12/2/2013,84.66854979,86.35607006
12/17/2013,84.79701304,86.42904999
1/1/2014,84.94350622,86.52199321
1/16/2014,84.9863273,86.63424554
1/31/2014,84.82856542,86.86176078
2/15/2014,84.78574434,86.79841294
3/2/2014,84.47322555,86.84674251
3/17/2014,84.59868382,86.9763667
4/1/2014,84.6670473,87.07704084
4/16/2014,84.69709718,87.11546711
5/1/2014,84.86462528,87.23757786
5/16/2014,84.96529239,87.28231807
5/31/2014,85.12605926,87.41060741
6/15/2014,85.31311978,87.47982441
6/30/2014,85.5895787,87.68898143
7/15/2014,85.60310115,87.71385448
7/30/2014,86.02905824,87.81539792
8/14/2014,86.11019292,87.87957359
8/29/2014,86.74499669,87.98980556
9/13/2014,86.7833103,87.9886812
9/28/2014,87.14315764,88.17284767
10/13/2014,87.23556103,88.21414921
10/28/2014,87.07254042,88.13321361
11/12/2014,87.14691388,88.19564284
11/27/2014,87.23856602,88.44198025
12/12/2014,87.31143699,88.48637261
12/27/2014,87.46844762,88.61676072
1/11/2015,87.79223511,88.77556059
1/26/2015,87.3963279,88.79842225
2/10/2015,87.41210409,88.8700983
2/25/2015,86.94858465,88.90023713
3/12/2015,86.98539576,88.9739762
3/27/2015,87.10033656,89.08574173
4/11/2015,87.12512771,89.16014532
4/26/2015,87.20701364,89.24830212
5/11/2015,87.27537713,89.30517544
5/26/2015,87.37604423,89.41378927
6/10/2015,87.47370635,89.4982037
6/25/2015,87.75392151,89.74106199
7/10/2015,87.75091652,89.83446158
7/25/2015,88.15658994,89.97455997
8/9/2015,88.25199832,90.05249095
8/24/2015,88.71176152,90.05434205
9/8/2015,88.65992548,90.03602064
9/23/2015,88.88830459,90.28066696
10/8/2015,89.2045796,90.36070646
10/23/2015,89.22861951,90.43131805
11/7/2015,89.54414328,90.55865534
11/22/2015,89.79956728,90.76338076
12/7/2015,89.7552437,90.87547981
12/22/2015,89.84163712,91.14860514
1/6/2016,89.97761284,91.14089457
1/21/2016,89.6673478,91.27496631
2/5/2016,89.58395937,91.41653717
2/20/2016,89.15048981,91.49217167
3/6/2016,89.29998798,91.58982929
3/21/2016,89.32027165,91.73877619
4/5/2016,89.32778412,91.80891954
4/20/2016,89.57569565,91.91405973
5/5/2016,89.53888455,91.94698709
5/20/2016,89.81985095,92.06749236
6/4/2016,89.79881603,92.14194013
6/19/2016,90.2818679,92.47530315
7/4/2016,90.43361981,92.61149866
7/19/2016,90.87986057,92.76489691
8/3/2016,90.93244786,92.83940094
8/18/2016,91.63411263,93.05495256
9/2/2016,91.59955526,92.96589808
9/17/2016,91.98043753,93.40048192
10/2/2016,92.09838332,93.45019664
10/17/2016,93.49194663,93.79275153
11/1/2016,93.71581826,94.13952241
11/16/2016,94.02833704,94.57520046
12/1/2016,94.26122363,94.79331026
12/16/2016,94.59177234,95.0893502
12/31/2016,94.85245508,95.36368846
1/15/2017,94.70971813,95.61569369
1/30/2017,94.96814712,95.69396396
2/14/2017,94.64736463,95.83889874
3/1/2017,94.80362402,95.99731025
3/16/2017,94.94711221,96.16144717
3/31/2017,94.97941583,96.2586575
4/15/2017,95.20328746,96.43688002
4/30/2017,95.44293527,96.49865973
5/15/2017,95.73742412,96.69048296
5/30/2017,95.84935994,96.73487018
6/14/2017,96.17615241,97.00326385
6/29/2017,96.01012681,96.96797919
7/14/2017,96.60436324,97.16927572
7/29/2017,96.79142376,97.29169247
8/13/2017,97.67714406,97.56355731
8/28/2017,97.71245267,97.56692678
9/12/2017,98.13765851,97.98163521
9/27/2017,98.40810746,97.96638876
10/12/2017,98.64249654,98.13193417
10/27/2017,98.94750285,98.37209385
11/11/2017,99.15033956,98.66494111
11/26/2017,99.19316065,98.79843493
12/11/2017,99.48539576,99.03102439
12/26/2017,99.49816696,99.08368993
1/10/2018,99.1540958,99.15360166
1/25/2018,99.15634954,99.25281098
2/9/2018,98.86787067,99.37921879
2/24/2018,99.12104093,99.53700444
3/11/2018,99.25401166,99.61621127
3/26/2018,99.4989182,99.76044275
4/10/2018,99.81894946,99.94858389
4/25/2018,100,100
5/10/2018,100.343,100.1754281
5/25/2018,100.641,100.265259
6/9/2018,100.865,100.4547173
6/24/2018,100.97,100.6348288
7/9/2018,101.372,100.8053898
7/24/2018,101.509,100.9078215
8/8/2018,102.132,101.1014457
8/23/2018,102.473,101.1194401
9/7/2018,103.049,101.5458776
9/22/2018,102.992,101.6190724
10/7/2018,103.105,101.7020737
10/22/2018,103.112,101.8675175
11/6/2018,103.009,102.1280644
11/21/2018,103.15,102.3202809
12/6/2018,103.415,102.5033595
12/21/2018,103.537,102.6489211
1/5/2019,103.501,103.0557493
1/20/2019,103.562,103.0308194
2/4/2019,103.25,103.1253191
2/19/2019,103.216,103.2991774
3/6/2019,103.225,103.4694924
3/21/2019,103.373,103.5816311
4/5/2019,103.654,103.7553053
4/20/2019,103.72,103.8335051
5/5/2019,103.642,103.9514826
5/20/2019,103.697,104.0592888
6/4/2019,103.877,104.2538037
6/19/2019,104.007,104.3768226
7/4/2019,104.42,104.5109302
7/19/2019,104.587,104.6331258
8/3/2019,105.299,104.7982921
8/18/2019,105.393,104.8090243
9/2/2019,105.763,105.1910068
9/17/2019,106.105,105.276582
10/2/2019,106.388,105.4906627
10/17/2019,106.506,105.6635348
11/1/2019,106.636,105.8919391
11/16/2019,107.141,106.0309216
12/1/2019,107.254,106.1960163
12/16/2019,106.422,106.3488906
12/31/2019,105.655,106.562215
1/15/2020,105.854,106.745639
1/30/2020,106.167,107.0044889
2/14/2020,106.158,106.9402912
2/29/2020,106.495,107.2556949
3/15/2020,106.991,107.4760976
3/30/2020,107.371,107.7418367
4/14/2020,107.517,107.8401068
4/29/2020,107.777,108.0346183
5/14/2020,107.956,108.2302894
5/29/2020,108.132,108.4089752
6/13/2020,108.097,108.5384734
6/28/2020,108.686,108.6954781
7/13/2020,108.862,108.7714175
7/28/2020,108.91,108.6552882
8/12/2020,108.801,108.6283744
8/27/2020,109.168,109.1948913
9/11/2020,109.374,109.2785303
9/26/2020,109.936,109.5359262
10/11/2020,110.484,109.7218674
10/26/2020,110.736,109.961759
11/10/2020,111.079,110.1600466
11/25/2020,111.668,110.5410537
12/10/2020,111.981,110.7669028
12/25/2020,112.052,110.966931
1/9/2021,112.328,111.1549306
1/24/2021,112.321,111.5206669
2/8/2021,112.517,111.7677789
2/23/2021,112.903,112.1637134
3/10/2021,113.132,112.3985534
3/25/2021,113.547,112.7429991
4/9/2021,113.818,112.8871545
4/24/2021,113.794,113.2027014
